,name,auc,nums,reca_@precision=0.6,f1_s_@precision=0.6,thre_@precision=0.6,reca_@precision=0.65,f1_s_@precision=0.65,thre_@precision=0.65,reca_@precision=0.7,f1_s_@precision=0.7,thre_@precision=0.7,reca_@precision=0.75,f1_s_@precision=0.75,thre_@precision=0.75,reca_@precision=0.8,f1_s_@precision=0.8,thre_@precision=0.8,reca_@precision=0.85,f1_s_@precision=0.85,thre_@precision=0.85,reca_@precision=0.9,f1_s_@precision=0.9,thre_@precision=0.9,precison_bset,recall_best,thresh_best,f1_score_best
194,生活_交友,0.89097209,155,0.012903226,0.025316456,0.465402842,0.012903226,0.025316456,0.465402842,0.012903226,0.025477707,0.514021814,0.012903226,0.025477707,0.514021814,0.012903226,0.025477707,0.514021814,0.012903226,0.025477707,0.514021814,0.012903226,0.025477707,0.514021814,0.110215054,0.264516129,0.056770485,0.155597723
128,文化_民间艺术,0.958921843,78,0.012820513,0.025316456,0.865028083,0.012820513,0.025316456,0.865028083,0.012820513,0.025316456,0.865028083,0.012820513,0.025316456,0.865028083,0.012820513,0.025316456,0.865028083,0.012820513,0.025316456,0.865028083,0.012820513,0.025316456,0.865028083,0.238938053,0.346153846,0.113057345,0.282722513
187,特殊风格_土味,0.947036063,83,0.024096386,0.046511628,0.816792667,0.024096386,0.046511628,0.816792667,0.012048193,0.023809524,0.855071008,0.012048193,0.023809524,0.855071008,0.012048193,0.023809524,0.855071008,0.012048193,0.023809524,0.855071008,0.012048193,0.023809524,0.855071008,0.144186047,0.373493976,0.115801954,0.208053691
280,软件软体_其他,0.956089665,260,0.057692308,0.105263158,0.803936303,0.038461538,0.072727273,0.857802093,0.011538462,0.022727273,0.916953623,0.011538462,0.022727273,0.916953623,0,0,0.958836019,0,0,0.958836019,0,0,0.958836019,0.378486056,0.365384615,0.268474089,0.371819961
223,科技_智能硬件-其他智能硬件,0.956988311,96,0.010416667,0.020618557,0.956018925,0.010416667,0.020618557,0.956018925,0.010416667,0.020618557,0.956018925,0.010416667,0.020618557,0.956018925,0.010416667,0.020618557,0.956018925,0.010416667,0.020618557,0.956018925,0.010416667,0.020618557,0.956018925,0.222222222,0.270833333,0.11763561,0.244131455
195,生活_其他,0.831343983,7787,0.124438166,0.206126356,0.645984173,0.070245281,0.126796477,0.731464028,0.016694491,0.03261415,0.855205774,0.010145114,0.020020274,0.881250143,0.00770515,0.015263292,0.893806696,0.001284192,0.00256476,0.93915844,0.001284192,0.00256476,0.93915844,0.387119045,0.504045204,0.273487704,0.437911414
114,搞笑_翻车现场,0.909368263,208,0.009615385,0.018957346,0.763599217,0.009615385,0.018957346,0.763599217,0.004807692,0.009569378,0.777784705,0.004807692,0.009569378,0.777784705,0.004807692,0.009569378,0.777784705,0.004807692,0.009569378,0.777784705,0.004807692,0.009569378,0.777784705,0.13164557,0.25,0.102716728,0.172470978
278,资讯_社会新闻-正向,0.958584879,813,0.002460025,0.004901961,0.859795988,0.002460025,0.004901961,0.859795988,0.002460025,0.004907975,0.877421081,0.002460025,0.004907975,0.877421081,0.002460025,0.004907975,0.877421081,0.002460025,0.004907975,0.877421081,0.002460025,0.004907975,0.877421081,0.253012048,0.413284133,0.138520414,0.313872022
1,事故_自然灾害,0.938227308,155,0,0,0.835881948,0,0,0.835881948,0,0,0.835881948,0,0,0.835881948,0,0,0.835881948,0,0,0.835881948,0,0,0.835881948,0.125806452,0.251612903,0.025076459,0.167741935
7,兴趣爱好_写作,0.971191808,25,0,0,0.421834141,0,0,0.421834141,0,0,0.421834141,0,0,0.421834141,0,0,0.421834141,0,0,0.421834141,0,0,0.421834141,0.051282051,0.16,0.021091709,0.077669903
59,室外_停车场,0.967203949,58,0.155172414,0.246575342,0.312071055,0.155172414,0.253521127,0.36651662,0.137931034,0.231884058,0.537751257,0,0,0.995634615,0,0,0.995634615,0,0,0.995634615,0,0,0.995634615,0.257731959,0.431034483,0.049781731,0.322580645
71,小众人群_孕妇,0.933342658,40,0,0,0.780230522,0,0,0.780230522,0,0,0.780230522,0,0,0.780230522,0,0,0.780230522,0,0,0.780230522,0,0,0.780230522,0.375,0.15,0.34330143,0.214285714
72,小众人群_残疾人,0.939355769,88,0,0,0.360708892,0,0,0.360708892,0,0,0.360708892,0,0,0.360708892,0,0,0.360708892,0,0,0.360708892,0,0,0.360708892,0.090909091,0.193181818,0.032463801,0.123636364
73,工作_创业,0.881966418,22,0,0,0.401308209,0,0,0.401308209,0,0,0.401308209,0,0,0.401308209,0,0,0.401308209,0,0,0.401308209,0,0,0.401308209,0.333333333,0.045454545,0.056183149,0.08
75,工作_吐槽碎碎念,0.938286826,360,0,0,0.994164765,0,0,0.994164765,0,0,0.994164765,0,0,0.994164765,0,0,0.994164765,0,0,0.994164765,0,0,0.994164765,0.198684211,0.419444444,0.169008335,0.269642857
79,工作_职业规划,0.966219438,16,0,0,0.443494022,0,0,0.443494022,0,0,0.443494022,0,0,0.443494022,0,0,0.443494022,0,0,0.443494022,0,0,0.443494022,0.047619048,0.0625,0.022174701,0.054054054
92,情绪_负向情绪,0.894923215,507,0,0,0.922250688,0,0,0.922250688,0,0,0.922250688,0,0,0.922250688,0,0,0.922250688,0,0,0.922250688,0,0,0.922250688,0.163533835,0.171597633,0.230562735,0.16746872
